,sepal_length,sepal_width,petal_length,petal_width,species
0,6.7 cm,3300.0 mm,5.7,2.5,virginica
1,4.8 cm,3400.0 mm,1.6,0.2,setosa
2,5.6 cm,2900.0 mm,3.6,1.3,versicolor
3,5.8 cm,4000.0 mm,1.2,0.2,setosa
4,5.2 cm,3400.0 mm,1.4,0.2,setosa
5,6.7 cm,3100.0 mm,5.6,2.4,virginica
6,6.0 cm,2900.0 mm,4.5,1.5,versicolor
7,5.0 cm,3400.0 mm,1.5,0.2,setosa
8,6.9 cm,3200.0 mm,5.7,2.3,virginica
9,7.7 cm,3800.0 mm,6.7,2.2,virginica
10,5.5 cm,2600.0 mm,4.4,1.2,versicolor
11,6.6 cm,2900.0 mm,4.6,1.3,versicolor
12,6.4 cm,2800.0 mm,5.6,2.2,virginica
13,4.3 cm,3000.0 mm,1.1,0.1,setosa
14,4.9 cm,2400.0 mm,3.3,1.0,versicolor
15,5.5 cm,2400.0 mm,3.7,1.0,versicolor
16,6.7 cm,3000.0 mm,5.0,1.7,versicolor
17,5.6 cm,2800.0 mm,4.9,2.0,virginica
18,6.4 cm,2800.0 mm,5.6,2.1,virginica
19,5.7 cm,2800.0 mm,4.5,1.3,versicolor
20,4.8 cm,3000.0 mm,1.4,0.1,setosa
21,7.2 cm,3600.0 mm,6.1,2.5,virginica
22,5.5 cm,2300.0 mm,4.0,1.3,versicolor
23,6.4 cm,2700.0 mm,5.3,1.9,virginica
24,6.1 cm,2900.0 mm,4.7,1.4,versicolor
25,6.8 cm,2800.0 mm,4.8,1.4,versicolor
26,7.2 cm,3200.0 mm,6.0,1.8,virginica
27,7.9 cm,3800.0 mm,6.4,2.0,virginica
28,6.4 cm,3200.0 mm,4.5,1.5,versicolor
29,6.7 cm,3300.0 mm,5.7,2.1,virginica
30,5.8 cm,2600.0 mm,4.0,1.2,versicolor
31,6.5 cm,2800.0 mm,4.6,1.5,versicolor
32,4.9 cm,3100.0 mm,1.5,0.1,setosa
33,5.4 cm,3400.0 mm,1.7,0.2,setosa
34,6.4 cm,3100.0 mm,5.5,1.8,virginica
35,6.7 cm,2500.0 mm,5.8,1.8,virginica
36,5.1 cm,3800.0 mm,1.5,0.3,setosa
37,6.1 cm,2800.0 mm,4.0,1.3,versicolor
38,4.8 cm,3000.0 mm,1.4,0.3,setosa
39,6.3 cm,3300.0 mm,6.0,2.5,virginica
40,5.7 cm,2800.0 mm,4.1,1.3,versicolor
41,4.5 cm,2300.0 mm,1.3,0.3,setosa
42,7.0 cm,3200.0 mm,4.7,1.4,versicolor
43,7.7 cm,2800.0 mm,6.7,2.0,virginica
44,6.4 cm,3200.0 mm,5.3,2.3,virginica
45,5.7 cm,3000.0 mm,4.2,1.2,versicolor
46,5.1 cm,3500.0 mm,1.4,0.2,setosa
47,6.9 cm,3100.0 mm,4.9,1.5,versicolor
48,6.2 cm,3400.0 mm,5.4,2.3,virginica
49,5.1 cm,3400.0 mm,1.5,0.2,setosa
50,6.8 cm,3000.0 mm,5.5,2.1,virginica
51,4.9 cm,2500.0 mm,4.5,1.7,virginica
52,4.6 cm,3400.0 mm,1.4,0.3,setosa
53,5.0 cm,3200.0 mm,1.2,0.2,setosa
54,5.7 cm,2600.0 mm,3.5,1.0,versicolor
55,4.8 cm,3100.0 mm,1.6,0.2,setosa
56,6.5 cm,3000.0 mm,5.8,2.2,virginica
57,6.0 cm,2700.0 mm,5.1,1.6,versicolor
58,7.3 cm,2900.0 mm,6.3,1.8,virginica
59,7.1 cm,3000.0 mm,5.9,2.1,virginica
60,5.5 cm,3500.0 mm,1.3,0.2,setosa
61,7.6 cm,3000.0 mm,6.6,2.1,virginica
62,6.1 cm,2800.0 mm,4.7,1.2,versicolor
63,6.0 cm,3000.0 mm,4.8,1.8,virginica
64,6.3 cm,2900.0 mm,5.6,1.8,virginica
65,5.1 cm,3800.0 mm,1.6,0.2,setosa
