,sepal_length,sepal_width,petal_length,petal_width,species
0,6.7 cm,3300.0 mm,5.7,2.1,virginica
1,6.0 cm,2200.0 mm,5.0,1.5,virginica
2,5.7 cm,2800.0 mm,4.5,1.3,versicolor
3,4.9 cm,3100.0 mm,1.5,0.1,setosa
4,5.0 cm,3000.0 mm,1.6,0.2,setosa
5,5.8 cm,2700.0 mm,3.9,1.2,versicolor
6,6.3 cm,3300.0 mm,4.7,1.6,versicolor
7,7.4 cm,2800.0 mm,6.1,1.9,virginica
8,6.7 cm,3300.0 mm,5.7,2.5,virginica
9,6.6 cm,2900.0 mm,4.6,1.3,versicolor
10,5.0 cm,3500.0 mm,1.6,0.6,setosa
11,5.1 cm,3800.0 mm,1.6,0.2,setosa
12,6.3 cm,2300.0 mm,4.4,1.3,versicolor
13,5.0 cm,2000.0 mm,3.5,1.0,versicolor
14,6.2 cm,2200.0 mm,4.5,1.5,versicolor
15,6.5 cm,3000.0 mm,5.2,2.0,virginica
16,5.2 cm,3500.0 mm,1.5,0.2,setosa
17,6.9 cm,3100.0 mm,5.4,2.1,virginica
18,7.7 cm,3800.0 mm,6.7,2.2,virginica
19,5.5 cm,2400.0 mm,3.7,1.0,versicolor
20,6.4 cm,2700.0 mm,5.3,1.9,virginica
21,5.6 cm,2800.0 mm,4.9,2.0,virginica
22,5.5 cm,2500.0 mm,4.0,1.3,versicolor
23,4.3 cm,3000.0 mm,1.1,0.1,setosa
24,4.5 cm,2300.0 mm,1.3,0.3,setosa
25,5.1 cm,2500.0 mm,3.0,1.1,versicolor
26,6.9 cm,3100.0 mm,4.9,1.5,versicolor
27,5.5 cm,4200.0 mm,1.4,0.2,setosa
28,4.9 cm,2400.0 mm,3.3,1.0,versicolor
29,6.1 cm,2800.0 mm,4.7,1.2,versicolor
30,6.0 cm,2700.0 mm,5.1,1.6,versicolor
31,5.5 cm,2400.0 mm,3.8,1.1,versicolor
32,5.8 cm,2700.0 mm,4.1,1.0,versicolor
33,6.9 cm,3200.0 mm,5.7,2.3,virginica
34,6.2 cm,2800.0 mm,4.8,1.8,virginica
35,5.0 cm,3500.0 mm,1.3,0.3,setosa
36,4.6 cm,3400.0 mm,1.4,0.3,setosa
37,7.2 cm,3000.0 mm,5.8,1.6,virginica
38,6.1 cm,3000.0 mm,4.9,1.8,virginica
39,6.5 cm,2800.0 mm,4.6,1.5,versicolor
40,6.0 cm,2900.0 mm,4.5,1.5,versicolor
41,6.3 cm,2700.0 mm,4.9,1.8,virginica
42,4.6 cm,3600.0 mm,1.0,0.2,setosa
43,5.8 cm,2800.0 mm,5.1,2.4,virginica
44,5.6 cm,2900.0 mm,3.6,1.3,versicolor
45,5.1 cm,3400.0 mm,1.5,0.2,setosa
46,5.1 cm,3800.0 mm,1.5,0.3,setosa
47,5.6 cm,2500.0 mm,3.9,1.1,versicolor
48,7.7 cm,2600.0 mm,6.9,2.3,virginica
49,6.3 cm,2900.0 mm,5.6,1.8,virginica
50,5.0 cm,3600.0 mm,1.4,0.2,setosa
