,sepal_length,sepal_width,petal_length,petal_width,species
0,5.9 cm,3200.0 mm,4.8,1.8,versicolor
1,6.9 cm,3100.0 mm,4.9,1.5,versicolor
2,4.9 cm,2400.0 mm,3.3,1.0,versicolor
3,5.0 cm,3500.0 mm,1.3,0.3,setosa
4,6.2 cm,2200.0 mm,4.5,1.5,versicolor
5,5.4 cm,3400.0 mm,1.7,0.2,setosa
6,5.8 cm,2700.0 mm,3.9,1.2,versicolor
7,6.9 cm,3100.0 mm,5.1,2.3,virginica
8,6.2 cm,2800.0 mm,4.8,1.8,virginica
9,4.6 cm,3400.0 mm,1.4,0.3,setosa
10,4.7 cm,3200.0 mm,1.6,0.2,setosa
11,6.4 cm,2900.0 mm,4.3,1.3,versicolor
12,5.5 cm,2400.0 mm,3.7,1.0,versicolor
13,5.8 cm,2800.0 mm,5.1,2.4,virginica
14,5.7 cm,3000.0 mm,4.2,1.2,versicolor
15,7.2 cm,3200.0 mm,6.0,1.8,virginica
16,6.7 cm,2500.0 mm,5.8,1.8,virginica
17,6.1 cm,2900.0 mm,4.7,1.4,versicolor
18,4.8 cm,3000.0 mm,1.4,0.1,setosa
19,6.5 cm,3000.0 mm,5.2,2.0,virginica
20,4.6 cm,3200.0 mm,1.4,0.2,setosa
21,6.1 cm,3000.0 mm,4.6,1.4,versicolor
22,5.1 cm,3800.0 mm,1.6,0.2,setosa
23,5.4 cm,3000.0 mm,4.5,1.5,versicolor
24,6.6 cm,2900.0 mm,4.6,1.3,versicolor
25,6.1 cm,2800.0 mm,4.7,1.2,versicolor
26,4.9 cm,3000.0 mm,1.4,0.2,setosa
27,5.6 cm,3000.0 mm,4.1,1.3,versicolor
28,5.3 cm,3700.0 mm,1.5,0.2,setosa
29,4.4 cm,3000.0 mm,1.3,0.2,setosa
30,7.1 cm,3000.0 mm,5.9,2.1,virginica
31,4.4 cm,2900.0 mm,1.4,0.2,setosa
32,5.1 cm,2500.0 mm,3.0,1.1,versicolor
33,5.6 cm,2500.0 mm,3.9,1.1,versicolor
34,5.1 cm,3800.0 mm,1.9,0.4,setosa
35,4.8 cm,3400.0 mm,1.6,0.2,setosa
36,5.1 cm,3300.0 mm,1.7,0.5,setosa
37,6.7 cm,3000.0 mm,5.2,2.3,virginica
38,5.7 cm,2800.0 mm,4.1,1.3,versicolor
39,6.3 cm,2800.0 mm,5.1,1.5,virginica
40,5.7 cm,4400.0 mm,1.5,0.4,setosa
41,6.4 cm,2700.0 mm,5.3,1.9,virginica
42,5.0 cm,3200.0 mm,1.2,0.2,setosa
43,4.9 cm,2500.0 mm,4.5,1.7,virginica
44,4.9 cm,3100.0 mm,1.5,0.1,setosa
45,6.8 cm,2800.0 mm,4.8,1.4,versicolor
46,5.2 cm,3500.0 mm,1.5,0.2,setosa
47,6.5 cm,2800.0 mm,4.6,1.5,versicolor
48,5.1 cm,3500.0 mm,1.4,0.3,setosa
49,5.8 cm,2700.0 mm,5.1,1.9,virginica
50,6.5 cm,3000.0 mm,5.5,1.8,virginica
51,4.4 cm,3200.0 mm,1.3,0.2,setosa
52,5.2 cm,2700.0 mm,3.9,1.4,versicolor
53,6.7 cm,3100.0 mm,4.7,1.5,versicolor
54,5.4 cm,3700.0 mm,1.5,0.2,setosa
55,7.3 cm,2900.0 mm,6.3,1.8,virginica
56,5.7 cm,2800.0 mm,4.5,1.3,versicolor
57,6.7 cm,3000.0 mm,5.0,1.7,versicolor
58,7.4 cm,2800.0 mm,6.1,1.9,virginica
59,6.3 cm,3300.0 mm,6.0,2.5,virginica
60,5.7 cm,2600.0 mm,3.5,1.0,versicolor
61,5.5 cm,3500.0 mm,1.3,0.2,setosa
62,7.2 cm,3000.0 mm,5.8,1.6,virginica
