,sepal_length,sepal_width,petal_length,petal_width,species
0,6.7 cm,2500.0 mm,5.8,1.8,virginica
1,5.5 cm,2300.0 mm,4.0,1.3,versicolor
2,4.8 cm,3000.0 mm,1.4,0.3,setosa
3,5.4 cm,3900.0 mm,1.7,0.4,setosa
4,6.4 cm,2800.0 mm,5.6,2.2,virginica
5,7.6 cm,3000.0 mm,6.6,2.1,virginica
6,6.1 cm,2800.0 mm,4.0,1.3,versicolor
7,5.0 cm,3500.0 mm,1.6,0.6,setosa
8,5.0 cm,3400.0 mm,1.6,0.4,setosa
9,5.0 cm,3500.0 mm,1.3,0.3,setosa
10,4.8 cm,3400.0 mm,1.6,0.2,setosa
11,5.8 cm,2800.0 mm,5.1,2.4,virginica
12,5.2 cm,4100.0 mm,1.5,0.1,setosa
13,4.9 cm,3100.0 mm,1.5,0.1,setosa
14,5.0 cm,3200.0 mm,1.2,0.2,setosa
15,6.0 cm,2200.0 mm,4.0,1.0,versicolor
16,7.2 cm,3200.0 mm,6.0,1.8,virginica
17,4.9 cm,3000.0 mm,1.4,0.2,setosa
18,4.9 cm,3100.0 mm,1.5,0.1,setosa
19,6.4 cm,2800.0 mm,5.6,2.1,virginica
20,6.7 cm,3300.0 mm,5.7,2.1,virginica
21,6.7 cm,3000.0 mm,5.0,1.7,versicolor
22,5.5 cm,2400.0 mm,3.8,1.1,versicolor
23,6.1 cm,2900.0 mm,4.7,1.4,versicolor
24,6.0 cm,2900.0 mm,4.5,1.5,versicolor
25,5.8 cm,2700.0 mm,3.9,1.2,versicolor
26,6.7 cm,3100.0 mm,5.6,2.4,virginica
27,6.5 cm,3200.0 mm,5.1,2.0,virginica
28,5.8 cm,2700.0 mm,4.1,1.0,versicolor
29,5.4 cm,3900.0 mm,1.3,0.4,setosa
30,4.8 cm,3400.0 mm,1.9,0.2,setosa
31,6.1 cm,2600.0 mm,5.6,1.4,virginica
32,5.0 cm,3300.0 mm,1.4,0.2,setosa
33,6.2 cm,2800.0 mm,4.8,1.8,virginica
34,5.9 cm,3200.0 mm,4.8,1.8,versicolor
35,6.1 cm,3000.0 mm,4.6,1.4,versicolor
36,6.8 cm,3200.0 mm,5.9,2.3,virginica
37,6.0 cm,2200.0 mm,5.0,1.5,virginica
38,5.4 cm,3400.0 mm,1.7,0.2,setosa
39,5.7 cm,2500.0 mm,5.0,2.0,virginica
40,6.7 cm,3100.0 mm,4.4,1.4,versicolor
41,6.6 cm,2900.0 mm,4.6,1.3,versicolor
42,4.8 cm,3000.0 mm,1.4,0.1,setosa
43,6.3 cm,2300.0 mm,4.4,1.3,versicolor
44,4.7 cm,3200.0 mm,1.3,0.2,setosa
45,5.1 cm,3800.0 mm,1.5,0.3,setosa
46,6.5 cm,3000.0 mm,5.2,2.0,virginica
47,5.6 cm,2500.0 mm,3.9,1.1,versicolor
48,6.0 cm,3000.0 mm,4.8,1.8,virginica
49,5.1 cm,3500.0 mm,1.4,0.3,setosa
50,7.2 cm,3000.0 mm,5.8,1.6,virginica
51,6.6 cm,3000.0 mm,4.4,1.4,versicolor
52,7.0 cm,3200.0 mm,4.7,1.4,versicolor
53,5.7 cm,4400.0 mm,1.5,0.4,setosa
54,5.8 cm,2700.0 mm,5.1,1.9,virginica
55,4.7 cm,3200.0 mm,1.6,0.2,setosa
56,5.3 cm,3700.0 mm,1.5,0.2,setosa
57,6.2 cm,2200.0 mm,4.5,1.5,versicolor
58,5.1 cm,3800.0 mm,1.6,0.2,setosa
59,5.7 cm,2800.0 mm,4.5,1.3,versicolor
60,7.7 cm,3000.0 mm,6.1,2.3,virginica
61,5.0 cm,3600.0 mm,1.4,0.2,setosa
62,6.9 cm,3100.0 mm,5.1,2.3,virginica
63,5.1 cm,2500.0 mm,3.0,1.1,versicolor
64,5.6 cm,3000.0 mm,4.1,1.3,versicolor
65,6.8 cm,2800.0 mm,4.8,1.4,versicolor
66,6.3 cm,2500.0 mm,5.0,1.9,virginica
67,5.0 cm,2300.0 mm,3.3,1.0,versicolor
68,5.4 cm,3400.0 mm,1.5,0.4,setosa
69,5.6 cm,3000.0 mm,4.5,1.5,versicolor
70,5.9 cm,3000.0 mm,4.2,1.5,versicolor
71,5.7 cm,3000.0 mm,4.2,1.2,versicolor
72,6.0 cm,2700.0 mm,5.1,1.6,versicolor
73,5.6 cm,2700.0 mm,4.2,1.3,versicolor
74,5.1 cm,3800.0 mm,1.9,0.4,setosa
75,5.2 cm,2700.0 mm,3.9,1.4,versicolor
